1475068041613 test-addition 2 74 true
1475068082714 test-first 3 41 true
1475068112053 test-first 3 29 true
1475068240911 test-first 3 128 true
1475068542346 refactoring 3 301 true
1475068627250 refactoring 3 84 true
1475068815073 refactoring 3 187 true
1475068918398 refactoring 2A 103 true
1475068998505 test-first 3 80 true
1475069058568 test-first 3 60 true
1475069104504 test-first 3 45 true
1475069127678 test-first 3 23 true
1475069140560 refactoring 2A 12 true
1475069182686 refactoring 2A 42 true
